CCR,response,actual,Prediction
"This is a static non-instantiable class, I'd rather change the constructor visibility to private.",done,0,1
This doesn't seem like it belongs to the current PR about porting to New DoFn,removed,1,1
"You will face a bug when `Runtime.getRuntime().availableProcessors()`=1, I think. 
And take a look at `BulkConsumePool`, this usually accepts a System ENV override.","I will avoid this case, core == 1. But I don't think we need EnvUtil to do it, because we have provided a configuration option that can override the value.",0,0
indentation,Fixed,1,1
This should have type `Pattern` unless there is a special reason not to compile it right away.,done,0,1
"Out of curiosity, is there a reason to grab `entity._obj_holidays` instead of just using the `obj_holidays` variable directly? It seems like the latter would let you avoid the pylint suppression.",The one belonging to the entity is adjusted by the users settings.,0,1
"Presumably this code can now be dropped?
",Done,1,1
"Wrong toString, should use S.toString","Wrong toString, should use S.toString",1,1
Code format,fixed,0,0
nit: move this to javadoc for the function as it defines the behavior of the function,Done.,0,0
"Funky naming, looks like spilled over from Avro implementation. Wouldn't ProtoMessageSchema be better?",Changed.,0,1
add a period after the end of the comment,"Done, thanks!",0,0
can you move this next to the other notes about attr changes,"Yes I can, I only found mentions of Attributes being changed within I/O and sparse section. Should I move it to one of those? Thank you in advance for the help",1,0
Changes here seems incorrect since `gobblin cli run` is not a valid command.,"ok sure, it requires log of doc changes, and some reorganization, which i can take care of but can we get #2586 merged? otherwise i ll have lot of conflicts.",0,1
"Great Documentation, but can we have some of the other docs link to it?",I am putting a link to this doc from Concepts.md. If you have better place in mind please let me know.,0,1
"`InternalTypeInfo.of(rowType)`
BTW, why override this?",Indeed it's not needed,1,1
should we use a sorted set here?,"The reason I haven't done it, is that it would require defining an ordering for `ConditionalClusterPrivilege`, and it's not obvious what that order would be.",1,1
@rmlarsen do you know of a better way to tell if an op is a source or sink?,Added a TODO to the Python tests.,0,1
does this default value need to move to the builder? I'm not sure I am seeing it anywhere,"IntelliJ told me the default is not actually ever used, it's always set..  so I removed it...   However, maybe I made a mistake/  Thanks for looking!   ",1,1
"Please remove this file. As a community, we decided a long time ago to eliminate maintaining a separate CHANGELOG. This concept predates development using version control systems, and is substantially less useful than the curated release notes that we create to highlight the changes we think users should be aware of. A separate CHANGELOG file creates extra maintenance burden on us, and adds no value that isn't already available from the git history and the release notes.",Whoops !!! This change was mine in theory it should never have gotten on ...,0,0
"You introduced this RegionService under internal package. But there's RegionService at org.apache.geode.cache package. This class is better to be a different name, or merge its functionality into other RegionService. ","Thanks. Yes, its confusing. That API doesn't belong in the public RegionService interface. Its a specialized API for CacheServices that are on Regions. I can rename it. Any ideas? How about RegionCacheService?",1,0
"We discussed we dont need this. You can resolve the internal id at the API layer, the same way as it was done for the Loan transactions. This way we dont need to introduce new methods and business logic.",Done removed!,0,0
"how about cp $PACKAGING_DIR/../target/bin/apache-ignite-fabric-2.5.0-bin.zip . ?
Otherwise,
% cat apache-ignite-fabric-2.5.0-bin.zip                                                                                                                 14:41
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>404 Not Found</title>
",Fixed,1,1
Same naming concern.,fixed,0,0
Is this line to be removed?,"Good catch! I forgot to remove my ""read this"" marker.",1,1
"There is still a failure, so you should instead if the message is null, create a empty message, or use the exception classname as the message.","So I'll roll back that if statement and if _message_ is null (or blank???) I will change it to exception classname, is that right? ",1,1
"Convention for the first part of a function's JavaDoc documentation is a present tense sentence fragment - the portion that would follow the implied ""This function"" beginning of that sentence. To follow that convention, you'll want ""Creates a new ..."" here, not ""Create a new ..."". The latter is more the style of git commit messages. ;)

Same with the ""Return the ..."" phrasing below.",Present tensed.,0,0
Do we need an empty constructor?,"Yuh, this is not needed actually",0,1
We should probably thrown an error if SERVICE_PORT is missing.,"Do you think it's better to keep it backwards compatible? These configs were not required in the past, I didn't want block gaas from starting up if the version is bumped without adding these configs.",1,1
We actually have some use cases where we need an unshaded jar. What was the problem here?,"I am actually not removing the functionality, if you look at the current file un master this definition of the jar plugin is repeated twice (and shows a warning), I am just removing such repetition where it happened.",0,1
please check line 87,Fixed.,0,0
Please don't introduce generics into exported methods in a pure cleanup PR.,reverted,0,0
"we could add `<outputFileNameMapping>${artifact.artifactId}-${artifact.baseVersion}.${artifact.extension}</outputFileNameMapping>
`, so that (for SNAPSHOT builds) the jar is always called `flink-shaded-hadoop2-uber-2.4.1-1.9-SNAPSHOT.jar`, and not `flink-shaded-hadoop2-uber-2.4.1-1.9-629462874621478328407-23.jar`",I think If we add the dependency for `flink-shaded-hadoop-2-uber` with `<version>${hadoop.version}-${flink.shaded.version}</version>`. we never using the SANAPSHOT JRA. e.g.: `flink-shaded-hadoop-2-uber-2.4.1-7.0.jar`Is there anything I misunderstand?,1,0
Should we do `shutdownExecutor.shutdownDown() && shutdownExecutor.await()` here?,~~`shutdown` is called from the thread executing in the shutdownExecutor. Therefore calling `.shutdownDown` or `.await` aren't suitable. (It's not really needed either since there aren't any blocking methods that the shutdownExecutor calls.)~~,1,1
"Why do we need this, when we already have L158?","The `stopWorker()` is called when there is an `InterruptedException`,  add extra stops here just in case.",1,1
Indeed. 😢,good one. I'll do that.,0,0
Why was null changed to record?,Fixed. Probably a mistake,1,1
"Nit: `pkey` generally refers to private key, not public key. Could you use either `pubkey` or `publicKey` here and throughout the PR?",Yes. I'll change it.,0,1
coudln't you used `Path#getName()`?,Unfortunately I could not it removes only the part to the root of the directory. If we have nested directories we need more than just `getName`.,1,1
"Do we need this? We mostly refactored out the concept of ""sandbox"" by introducing config value wildcards.",@billonahill how about change the name to `statefulStorageClassPath` which corresponds to `Context.schedulerClassPath`?,1,1
Code format,fixed,0,0
"Maybe inside here, if the result is `NOT_COMPUTED`, we should go and lazily compute it, instead of expecting caller to?  And then remove `setNextState` (or make it private)?","Good idea, will do",0,1
Please use period at the end of all attribute descriptions. As in case of the description of `drive.timestamp`.,I see that in the majority of cases the simple descriptions don't have a period at the end. I'd rather leave them that way.,0,0
Do we need to do a null check on stateMap here?,Added null check.,0,1
actual value seems like 256MB,fixed,0,0
"Same as the comment above, instead of returning a hardcoded value, this method can return the configured CIDR and can make `getLinkLocalGateway()` above to be consistent with it.",Do we have access to the configuration here? I don't think so. Therefor I changed it this way.,1,0
shared module?,no,1,1
"Since no changes are made in this file, kindly remove this file from PR",Ok,0,0
Why returning a stream if there is only a single instance? Also the method name suggests there can be multiple services. Wouldn't be more straightforward to return an Optional?,Ok,0,1
"it should be ""seconds"" in the description","ah, yes right thanks!",1,1
"a comment, telling what the key is, would help.",Done,0,1
"Is there a problem with chaining it using `|`?
```suggestion
	auto linearizedContracts = m_currentContract.annotation().linearizedBaseContracts | ranges::views::reverse;
```","No problem, I can use | syntax everywhere",1,1
Should be `GPG`,fixed,1,1
nit: avoid redundancy by looping?,ok,1,1
You should probably use the implicit broker instead: `GobblinBrokerFactory.getImplicitBroker()`,"Wow. a magic function. For correctness, should `registerImplicitBroker` be called earlier?",1,0
"@kadirozde - I'm curious what the purpose of these changes are. Have DDL permissions changed? If not, and your changes somehow break the existing test, is there a way to modify the test logic to keep the same test coverage?","Currently global indexes are built by using UPSERT SELECT, i..e, by reading mutations from the data table and writing the corresponding mutations to the index table. The user does not need to have the write privilege on the data table in order to build an index table. However, in the new approach, an index table is built by replaying the existing mutations back on the data table again (without actually applying them to the data table) for the purpose of reconstructing the index mutations. Such replay attempts are allowed only when the user has the write privilege. Therefore, I had to delete the scenarios that are not applicable anymore.",0,1
"i am not sure why you think warning on all creations like this is a good idea at all and it’s not what we discussed

this would be a nightmare for us and users

IIRC we need a very selective deprecation","We also have to depreciate `timedelta_range(..., freq='D')` since `'D'` will be relative and not absolute in favor of `'24H'`",1,1
"We should avoid disable lint errors like this unless absolutely necessary.

You can give the default import any name:


```
import MailActionFields, {MailActionTargetType} from ...
```",Thanks! Done.,0,0
"If I understand properly, user can specify either `--query=3` or `--query=THREE` and it should end up being the same `NexmarkConfiguration` containing `NexmarkQueryName.THREE`. And you use the exception to differentiate between the two cases. Right ?",Yea. The only reason I am keeping the numeric version is to have some backwards compatibility since there's probably lots of dashboards and shell scripts that call this.,0,1
"Add ""@override"" to classes that override this API.",Done,0,0
Is it 200 when the value below says 100?,"yeah... I tried it with 300, let me check again what a currently good value is.",1,1
Should be a `ProcessException`.,Resolved in comment below,1,1
"OK, so the problem here is that, the result for a multi operation is an Object? And we will have two types, one is Result, for normal mutateRow, and the other is CheckAndMutateResult, for checkAndMutate?","Yes, correct. Previously, we returned only Result type but after this fix, we will return Result (for normal mutateRow) and CheckAndMutateResult (for checkAndMutate). So I used a generic type here.",1,1
Not super familiar with this code but at first glance this seems kind of arbitrary - what's the reason for the selection here?,"I was trying to preserve previous behaviour for cases where `color` is not passed. If that's not required, then we can definitely change the default color scheme generation to be simpler or even remove it entirely (falling back on `matplotlib` defaults)",1,1
Should we also have a constant for `FINISHED`? As is the `AvailabilityListener` depends on its implementations to provide some `isFinished()`.,"Not quite sure of it.  `isFinished()` is more proper to be provided by input interface to indicate whether this input ends or not. As for `AvailabilityListener`, we just explain that which cases would cause future complete. Or I did not get your key point?",1,1
"shouldn't this return false, given that the conditions in the StateAssignmentOperation/Checkpoints have been inversed?",Unfortunately looks to be out of scope to replace the mock :(,0,1
"See here: https://github.com/SevenPointOld/incubator-skywalking/blob/18790363b3ba50738ea3e577b63506fce16a4e77/apm-sniffer/optional-plugins/trace-ignore-plugin/README.md

Your markdown don't look good. Please provide sections about two usages.
```
# title
Abstrct

## Usage
1. ...... use config file.....
2. ...... through env, and examples
```",ok,0,0
"In commit ""rpc: Support -rpcauthfile argument"" (10ef7321f0dab8cb7dfe79f7c0f9d886d8fe0097)

I think this should refuse to load if the rpcauthfile isn't formatted correctly. Logging and error and returning false might be sufficient to do this.

I think an invalid -rpcauth option above should also trigger an error, or at least report an error, but it's pre-existing code so not directly related","@luke-jr please review #20461, this one should rebase with that.",0,1
This line is redundant because the whole section is for Java now.,done,0,1
I moved this so the mutable stuff was below the immutable stuff.,I moved this so the mutable stuff was below the immutable stuff.,0,0
"Add example usage as in RunnableOnService.java
","done
",0,0
"`max.retries` is too generic, can you rename this to `vm.ha.migration.max.retries` or something suitable?",These existed before. Leaving them as is.,0,1
"Don't use `default=""""`. You can later check with `if CONF_XY in config`",Done.,0,1
"this is by defintion what 'empty' means, you only need to check if its object type in that case",This isn't necessary anymore if I use `.dropna`. Then the only `'mixed'` are really mixed (and not caused by e.g. `np.nan`),0,1
Is this change about a bug fix or API change?,@kishoreg : can you please clarify ? I'm not sure we need this change for presence vector.,1,1
Should we throw a different error for cases where internal conns exceed the max config vs. when external do?,We could but I'm not sure there is much benefit end client can't really act differently.  Is logging sufficient?,1,1
Move the 'upload your key' to the 'set up signing keys' section. Maybe add a troubleshooting point 'If xxx happens make sure that you uploaded your key to ubuntu'.,Changed.,0,0
"Hmm so this is the test that fails in 1.8, but not the other JVM versions.  That would seem to imply that it did not pick up the change to the file this time around, but I don't have any new hypothesis as to why.  I had previously added some `Thread.sleep` calls, thinking maybe it was some sort of timing issue.

Also, the first change was apparently picked up successfully, so the change detection is working to some degree here.  I wonder if maybe the granularity of the `lastModified` could be the issue - maybe it's rounded to the nearest second or something?

","A bit of googling turns up a lack of subsecond precision in Java 1.8 and below, so I've added a 1 second delay in those versions",0,1
Why `super` for `getConnectionDirectory()` but `this` for `self()`? Why not just `getConnectionDirectory()` and `self()`?,Sure,0,1
My comment in `IndexMetadataVerifier` applies here too: we could call `Build.current().major()` and get an `8` for our message.,"As per the other conversation, we agreed to leave the message as-is until we have a better understanding how major will evolve (also in light of CD projects)",0,0
"See here: https://github.com/SevenPointOld/incubator-skywalking/blob/18790363b3ba50738ea3e577b63506fce16a4e77/apm-sniffer/optional-plugins/trace-ignore-plugin/README.md

Your markdown don't look good. Please provide sections about two usages.
```
# title
Abstrct

## Usage
1. ...... use config file.....
2. ...... through env, and examples
```",ok,0,0
The `int bucketId` in the parameter list is never used.,Fixed.,0,1
"As discussed last week, lets keep the old luminance calculation. I changed it to this one fairly arbitrarily, but the old calculation appears to better reflect the perceived brightness when colors become saturated. 

The same goes for the compute version, should be changed to ``max(color.r, max(color.g, color.b))``","After further discussion with @clayjohn, also changed luminance calculation on clustered",0,0
Would you please use spaces instead of tabs for indentation like used in the file?,done,0,1
@aduh95 note the difference here. `ReflectApply` was allocating an additional array.,@aduh95 note the difference here. `ReflectApply` was allocating an additional array.,0,0
I do not think we should have a retry mechanism for this right now. Lets keep it simple for now,"removed it, Thanks.",0,1
Do we have `@PublicEvolcing` annotations in the rest of the new api package? Then we should probably also have them here and in the other new classes.,What other classes did you have in mind? I think this is the only class missing annotation.,1,1
"We need to add the index into https://github.com/apache/zeppelin/blob/master/docs/_includes/themes/zeppelin/_navigation.html#L138 as well

Otherwise, it will not appear in navbar",Done!,0,0
"But now all part columns will have the same default compression codec. But we can specify codecs for columns separately, like:
```
CREATE TABLE compression_codec(
    id UInt64 CODEC(LZ4),
    data String CODEC(ZSTD),
    ddd Date CODEC(NONE),
    somenum Float64 CODEC(ZSTD(2)),
    somestr FixedString(3) CODEC(LZ4HC(7)),
    othernum Int64 CODEC(Delta)
) ENGINE = MergeTree() ORDER BY tuple();
```","Ok, I'll fix it later. thank you very much!",0,0
"Side note: if you add a `*` after `self`, then it is clearer that it is expected to be all passed via keyword arguments, and their order no longer matters, even if the middle one has defaults.
```suggestion
        self, *, window_size: timedelta, entity: str, precision: int | None = None
```","sorry, had to sit at the desk to finish it up :)",0,0
"Does this have to be allocated when empty, ie can it just be nullptr when unused?",fixed in 583512a9750f17a04e7c1de4d0a428588fda08a1. Now it is allocated only when it is about to get used,0,1
"Minor: consider to create a StreamSpecManager class with streamConfig as the parameter to constructor, instead of using the StreamUtils static function.","Re: StreamSpecManager and static functions in the planner, I'd prefer to stop at this amount of refactor to time bound it and make it easily reviewable. Once StreamSpec usage is restricted enough, we can consider further refactors like consolidating StreamSpec creation, making them immutable, removing StreamSpec from the SystemAdmin API, making other Planner objects (JobNode, JobGraph) etc. immutable and so on. Does that sound reasonable?",1,0
"If the coordinator is the only thing ever stored in the `hass.data[DOMAIN][entry.entry_id]`, it can be stored directly instead of making a `dict`",I agree but it would affect also other platforms. Should we then incorporate that here in this PR even if it's not about the lock platform itself?,1,1
Why `super` for `getConnectionDirectory()` but `this` for `self()`? Why not just `getConnectionDirectory()` and `self()`?,Sure,0,1
probably?,probably?,1,1
Remove duplicate test case.,removed,0,0
"Are the below feature sorted by priority? It looks like so because of the ""1. 2. 3. ...). But the second point in ""3. Model Parallelism"" seems very important.","It's sorted by priority, data parallelism have higher priority than model parallelism.",0,1
Why change this behaviour?,merge from 3.0 ?,1,1
Remove added character,Remove added character,0,0
"Does this improve performance relative to 1.0.5, or just master? We only need this if it's faster relative to 1.0.5","Yes indeed, those improvements are only relative to master. So, maybe it doesn't make sense to list this change at all in the whatsnew document. I'll have it removed. However, this should still be merged to 1.1.0 (if we manage on time) right? And then keep improving on it?",1,1
"```suggestion
    @Path(""/{tenant}/{namespace}/inactiveTopicPolicy"")
```",I changed it to `inactiveTopicPolicies`,0,0
pls pass ``base`` from ``.bar`` because these are identical.,Done,1,1
"I think I would leave these out by default, and instead I would say something like ""To build with debug information, add the flag: ``--bazel_options=--copt=/Z7``.""",These version things seem to be needed currently. Blame bazel xD,0,1
"a comment, telling what the key is, would help.",Done,1,1
"When using ""when"" clauses they are not strict and use functions like any(Job.class)/anyString only using something specific if a different result needs to be returned based upon an input parameter. The ""verify"" clauses should be the strict ones.

This helps make tests not fail due to NPEs since a null would be returned if the mock call wasn't satisfied and will instead fail with a much cleaner message saying parameters X, Y, and Z were expected but got A, B, and C

This applies to this test and the ones you added below
","But ""verify"" can't be used to mock function return. 

How about using any(Job.class)/anyString in ""when"" clauses and verify the function parameters using ""verify"" with eq. I think this is what you suggest right?
",1,0
"The code below has `[_,_)` ranges. We should document that this is the behavior.",This is already documented in [Int64Range](https://www.envoyproxy.io/docs/envoy/latest/api-v2/type/range.proto.html#type-int64range). Would you like to repeat it here?,1,1
why we need this?,It's an accident... removing now.,1,1
"No need to qualify,  if a user is running an old version of Flink they can reference that versions docs.
",the old version actually doesn't talk about this. and this will be a disruptive change,0,1
This logic should be moved last as extracting body as string would then always be performed and that is not good,"Oh, I see, but then how do I verify if the body is an empty string?",1,1
"This should probably be set to private, and by convention for static vars, should be uppercased.",Done,0,1
`name='` is missing the equals sign,done,1,1
"These files should be put in example, not test",i have removed the dependencies to example,0,1
Why is it necessary to have an attribute for this. Back pressure should work automatically.,Why would it need to be disabled for aggregate output?,1,1
Add empty line before if().,fixed,0,1
"I wonder whether we really need this package. The less dependencies, the better.

If so, pls put the version into root `pom.xml`, and use `scala.binary.version` to make it work for 2.10 as well.
pls refer to https://github.com/scala/scala-module-dependency-sample
","ok, 
I use this library to parse the json string.
",0,1
"I'm completely against that.
You loosing any useful information from C++ exception in that construction.
I didn't see any SDK/library whom uses exceptions in that way.","@dkurt I tried the solution you proposed and it didn't work. It seems like the readNetFromONNX function runs fully without calling the setUp net function. And so the exception, as before, gets thrown [here](https://github.com/opencv/opencv/blob/81fad9e2472af758130a15e0cd9f105bea9cc1f4/modules/dnn/src/onnx/onnx_importer.cpp#L860)",1,1
"*Critical OSS Vulnerability:*  &nbsp;
### pkg:maven/org.yaml/snakeyaml
1 Critical, 0 Severe, 0 Moderate and 0 Unknown vulnerabilities have been found in a direct dependency 



<!-- Lift_Details -->
<details>
<summary><b>CRITICAL Vulnerabilities (1)</b></summary>

<ul>

  ***
  > #### [CVE-2017-18640] The Alias feature in SnakeYAML 1.18 allows entity expansion during a load operat...
  > The Alias feature in SnakeYAML 1.18 allows entity expansion during a load operation, a related issue to CVE-2003-1564.
  >
  > **CVSS Score:** 7.5
  >
  > **CVSS Vector:** CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H

  ***
</ul>

</details>

(at-me [in a reply](https://help.sonatype.com/lift) with `help` or `ignore`)",ignore,0,0
`legacyBehaviour()` has already checked in the outer `if`,"true, thx!",0,0
I’m surprised this isn’t final.,"@julianhyde in the latest push the member is final.  Also, these ES clients are dedicated to a single ES server so the consequences of a hash collision would indeed have been bad.  So the cache is no longer keyed on a hash.",1,1
please handle InterruptedException,"@eolivelli Just to clarify, you want to call `Thread.currentThread().interrupt()` when we encounter an `InterruptedException`?  Why? and why only for that exception an not the `ExecutionException` ?",1,0
"if there's a todo item here, it'll need fixing or at least understanding of why a fix isn't needed","would it be possible to agree a timeout value - maybe 1 hour? - otherwise, this could block indefinitely",1,1
"You also need to amend `public void unparse(SqlWriter writer, int leftPrec, int rightPrec) {` based on existence of `fieldList`.",Fixed,0,0
what is this?,I think this is storage type cast,1,1
"Argh, sorry, you meant
```suggestion
    if len(sys.argv) > 1 and sys.argv[1] == ""--version-suffix-for-pypi"":
```

```
Traceback (most recent call last):
  File ""setup.py"", line 101, in <module>
    if len(sys.argv) > 0 and sys.argv[1] == ""--version-suffix-for-pypi"":
IndexError: list index out of range
```",Ah yeah I did test it and corrected it . But in the generated setup.py not the template :(,0,0
"Why multiple shapes?
","I'll modify this.
",1,1
2.21 -> 1.21?,good catch,1,1
can you parametrize,Not without introducing a whole lot of extra boilerplate.,1,1
0.20.0,done,0,0
maybe this is a good place for `LongIntMap`?,"I looked at `LongIntMap` but decided not to have a 3rd party dependency for this low performance, rarely used map.  I like the Counter class usage. It simplifies things. Thanks!",1,1
why is io.netty.eventLoopThreads being set?,"I was just copying the above `setupCache(String username, boolean withSecurityManager)` method, but you're right that it's unecessary",1,1
why not just include all of the output from stat?,Because the rest of the stat output is already present in the mntr output. Previously for servers that support the mntr command the script wouldn't run stat at all: I only added it because the zxid info is not in mntr.,1,1
This should have type `Pattern` unless there is a special reason not to compile it right away.,done,0,1
"In the construction `A && B || C` the C operation will be invoked despite of whether the A is true of false. So it may lead to NPE, as cctx is `null` for client nodes.","I don't think so. We do not affect snapshot-on-client behavior in this ticket. It has been working well till now. Shapshots-on-client hasn't raised NPE before the ticket. I believe, because this DistributedProcess doesn't work on client regardless encrypted or not. There is `cctx.kernalContext().clientNode()` before. It hasn't been asserted earlier. I don't think we should care.",0,1
Remove this,Remove this,0,0
"I guess we need to have a if else case here. Let me try to explain my understanding. correct me if its wrong. 
The scenario we are trying to tackle is, insertion for a record happened in PartitionPath1, while update is sent to PartitionPath2. With the newly added cofig value set to true, we want the update operation to insert in PartitionPath2 and also delete in PartitionPath1. 

So, in this case, after the left outer join, here are the values for the record
record._1 -> incoming record. recordKey1, PartitionPath2
record._2 -> Tuple2<HoodieRecordLocation, HoodieKey> after index look up. should refer to recordKey1, PartitionPath1. 

`
      if (recordLocationHoodieKeyPair.isPresent()) {

        if(recordLocationHoodieKeyPair.get()._2.getPartitionPath().equals(hoodieRecord.getPartitionPath())){
          return getTaggedRecord(new HoodieRecord<>(recordLocationHoodieKeyPair.get()._2, hoodieRecord.getData()), Option.ofNullable(recordLocationHoodieKeyPair.get()._1));
        } else {
          if(config value is true) {
            // need to add two records. one delete in old partition path and an insert into new one.
            HoodieRecord<T> emptyRecord = new HoodieRecord(recordLocationHoodieKeyPair.get()._2,
                new EmptyHoodieRecordPayload());
            HoodieRecord<T> taggedRecord = getTaggedRecord(hoodieRecord, Option.empty());
            return Arrays.asList(emptyRecord, taggedRecord).iterator();
            return getTaggedRecord(new HoodieRecord<>(recordLocationHoodieKeyPair.get()._2, hoodieRecord.getData()), Option.ofNullable(recordLocationHoodieKeyPair.get()._1));
          } else{
            return getTaggedRecord(new HoodieRecord<>(recordLocationHoodieKeyPair.get()._2, hoodieRecord.getData()), Option.ofNullable(recordLocationHoodieKeyPair.get()._1));
          }
        }

        // Record key matched to file
       // return getTaggedRecord(new HoodieRecord<>(recordLocationHoodieKeyPair.get()._2, hoodieRecord.getData()), Option.ofNullable(recordLocationHoodieKeyPair.get()._1));
      } else {
        return getTaggedRecord(hoodieRecord, Option.empty());
      }
`",Exactly @nsivabalan . I understood the logic but missed the part of checking path update.,1,1
"What are the next steps for the user here? Should he check the flow properties (we can point to the list of allowed properties), should he file a ticket and ask GaaS engineers to fix the issue? Also, do we have additional details on why the compilation was unsuccessful and what specific place had a problem?","The challenge is that if a flow doesn't compile it's hard to know why because we don't know what was the intended path. It could be because of missing edges/nodes, or unresolved config keys. It's something that could be improved upon still, but most users of gaas self-serve should be using edges we've already defined so probably shouldn't have this problem anyway.",1,1
"Presumably this code can now be dropped?
",Done,1,1
"can u add a comment, that it does so for last one hour... took me a bit to figure out",Added,1,1
"""Create hive database"" -> ""Enable create hive database""",ok,0,0
"Please `io.druid.java.util.common.ISE` for `IllegalStateException`, which under the hood uses `StringUtils.safeFormat` for error message printing.",fixed,0,0
what is this variable tracking? How is it different from numPartitions?,removed unnecessary variable,1,1
"```suggestion
        String jobNameConfig = properties.getString(JOB_NAME.key(), JOB_NAME.defaultValue());
```","I've been working primarily with Kotlin over the last year or so, semicolons aren't my friends. ;)",0,0
"This already leaves the `constant` keyword as a backwards compatibility change.
","This already leaves the `constant` keyword as a backwards compatibility change.
",1,1
"Presumably this code can now be dropped?
",Done,0,1
"Its unfortunate that you have to duplicate this logic in both the bounded read and unbounded read evaluator factories. Do you think these implementations will diverge?
","This logic shouldn't really exist at all.

If a `Source` produces no splits, the watermark should naturally advance to positive infinity, and the executor should never notice.
",0,1
`String get sdkId => id;` ?,There's a warning (Don't override fields) if a field is named `id`. Is `id` better be renamed to something else like `sdk`? Or is the parent `id` supposed to be used?,1,1
Is there are reason not to use `instrospector.pubsubChannels` here? It seems like that would avoid the need for a `@SuppressWarnings` on these tests.,I changed the ones that pass a parameter.  Too bad the pubSubChannels method doesn't just work as expected if you pass in null...,0,1
Fixed,Fixed,0,0
"Why is this needed for arrow string array? That's invalid indexing for a 1D array, and should raise an IndexError (as numpy does, or as we do for eg StringArray)","typo, should be `arr[..., n]`, will update",0,1
"This line does not seem necessary. `SSHConnectionSettingsType.populateFields` does call

```java
                String identityFile = getDefaultIdentityFilePath();
                settingsPanel.txtIdentityFile.setText(identityFile);
```","Unfortunately populateFields is not called in every case. Most importantly when the repository URL is being copied from github/gitlab where the ssh:// prefix is just missing from the URL. Probably I could raise a bug on that. And mark this line as a workaround in the code, till it gets fixed. I feel the fix would be a bit out of the trivial category.",0,1
"Could you please also remove `ExtendableRelDataTypeHolder`, `ExtendableRelDataType` classes and `DrillValidator.addToSelectList()` method added in DRILL-4120 sine they are not needed with these changes.",Thanks for pointing to this. Removed.,0,0
"```suggestion
It is also possible to create a `Table` as known from relational databases from a [connector]({{ site.baseurl }}/dev/table/connect.html) declaration.
```

?","After second thought, I think it is more consistent to leave it with capital letters. In other places, whenever we refer to SQL terms we use capital letters.",0,1
Delete or reenable this assertion check.,Done,0,0
add a docstring,add a docstring,1,1
"I would suggest renaming the `.context-message` class to `.js-context-message`, to show is intent to be used by JS code and avoid a regression when refactoring CSS.",It's a really good idea to js-xxx for stuff only used as tag for JavaScript without any CSS implication. Do we have a guideline/documentation for others?,1,1
Being specific here will be tricky (see my comments above about the indicator classes). I think we may need to keep the actions fairly general to avoid making suggestions that potentially won't help.,"I am currently using `MissingWebServerFactoryBeanException#webServerFactoryClass` to determine the web application type, I am not sure if this is simpler, looking forward to your reply:)",1,1
ASF license nit,Fixed,0,1
Why is `isDelayPartOfGroup` a separate method and this part is not?,True. I can put all the logic in a separate method and return a set of unifier operators which can be appended to `operators`. Will do that.,1,1
I think this part should be on line 789. The first time we enter this loop we don't know whether the key will be  skipped.,"That's a reasonable suggestion. I believe I added this code snippet here as the other check (in line 742) is also here, and I wanted to keep both of them close together. ",0,1
"Maybe this would be nicer as `def ROW(fields: (String, TypeInformation[_])*)` so that one could write:
```scala
val rowType = ROW( (""name"", STRING), (""favorite_color"", STRING), (""favorite_number"", DOUBLE))
```",Done,0,1
Is this DoFn really needed? I'm wondering if your implementation of the combiner is sufficient for performance.,"Probably not, but that might change the semantics a bit. Without this, we'll combine each window into into `n` or fewer elements. But I guess that's more natural?",1,1
Please enable the test case. Why do you call it ReverseTable?,Updated. Couldn't find a way to set SRID using flink methods. This test case tests scenario when SRID isn't present. Is that Okay ?,1,1
Curious: how is this test different from testDisallowedRequester?,"testDisallowedRequester doesn't test using owning groups, it was originally used to test the requester service. This tests for a group member that isn't part of a group that exists. They are pretty similar though.",1,1
"This is an inconsistent return type. Either return an empty list or `None` here if `data` is a list.

Or return `True` below if we should just return a boolean.",Fixed,0,1
This is strangely specific. What about `concatPaths(String... strs)`?,Fixed.,1,1
"How come we don't need this in the current master, where this class is also used for restoring state?","In the master, we used two different classes for this purpose: `OperatorSubtaskState` to report from task to master, and `TaskStateHandles` to restore from master to task. Their difference is that in the first all fields are singletons, and the second all are collections. Otherwise, their purpose is identical, so I collapsed them into one class.",1,1
dump!? clear? release?,`dumpProject` name was not changed in this PR.,1,1
This should have type `Pattern` unless there is a special reason not to compile it right away.,done,0,1
"Is this comment worth to be preserved? I guess it is even wrong, because Calcite allows certain numeric types?","If it's worth to be preserved, I guess we should place it somewhere else? Perhaps in `IntegerNumericToBooleanCastRule`?",1,1
"you may need to continue, instead of return",fixed~,1,1
I think we are trying to get away from using CliUtils in the command,Fixed,1,1
typo: two here.,thx,0,0
"It's again not easy to see what all the operators are doing. Would it be possible to have a generic operator, where you pass a `InputSelectable`, such that it is defined at the same place as the expected output?","But `TestAnyModeMultipleInputStreamOperator` is the only easy case that can be easily generalised. Unifying it with `TestSequentialMultipleInputStreamOperator` would basically require to pass the whole operator here, via the generalised factory. I really don't think it makes sense And generalising just `TestAnyModeMultipleInputStreamOperator` also doesn't make sense, as that would just add code complexity?",1,1
add shuffle test case,add shuffle test case,0,0
