project,pull,author,reviewer,CCR,Prediction,Merge
doris,751,yiguolei,chaoyli,may be better to clear_load_id() ？,1,False
hadoop,539,steveloughran,mattf-apache,"same line twice, typo?",1,True
parquet-mr,871,fschmalzel,gszadovszky,Same as above,0,True
camel,4561,jam01,oscerd,Add ASF license please,0,True
iotdb,1716,Genius-pig,Alima777,Considering measurements as JsonObject here.,0,True
flink,14921,zentol,tillrohrmann,which `SlotSharingGroup`?,1,True
beam,14261,BenWhitehead,danthev,Java readability guidance is enums in all caps IIRC.,0,True
flink,9485,JingsongLi,dawidwys,`Optional.of(conversion).map(...)`,0,False
kylin,710,hit-lacus,nichunen,This method is duplicated with `getErrorCubes` in `CubeManager.java`,0,True
incubator-kie-optaplanner,1495,dupliaka,rsynek,"Just for a clarity that we exclude Java files in that path (both should work):
```suggestion
    <sonar.coverage.exclusions>**/swingui/**/*.java</sonar.coverage.exclusions>
```",0,True
hudi,2111,SteNicholas,leesf,would you please explain why change from `200` to `100` ?,1,True
gobblin,1280,jack-moseley,chavdar,"Let's discuss this on Monday. This is incorrect. The output schema should correspond to the records produced.
",0,False
cloudstack,2850,khos2ow,pdion891,"@rhtyd is it ok, to have comment in the code with author name? I'm asking because not a lot of commit include such and I'm not sure it is in line with Apache policy.
",1,False
beam,971,jbonofre,jkff,"Seems like UnboundedMqttSource doesn't implement populateDisplayData.
",1,True
flink,6339,tisonkun,tillrohrmann,The same applies here. Don't predefine the configuration values.,0,True
inlong,5837,woofyzhao,healchow,Suggested changing to `SourceType.AUTO_PUSH.equals(request.getSourceType())`.,0,True
flink,15055,gaoyunhaii,dawidwys,"I'd rather throw `UnsupportedOperationException` by default. Otherwise, we are violating the contract of the method. We can not claim we got an acknowledgement for something we have not sent.",1,False
ignite,11003,Vladsz83,ptupitsyn,No need explicitly start transaction for single put. It automatically starts for every single put/delete/etc operations.,0,True
bookkeeper,2235,rdhabalia,eolivelli,What about writing the path of the file?,1,True
flink,9564,1u0,AHeise,nit: chop,1,False
ignite,9545,timoninmaxim,Silberfuchs1,"only --> just. You can use both, but just sounds better in this situation.
loads --> will upload",0,True
geode,4909,DonalEvans,jujoramos,Is it reasonable to assume we will never be able to transfer 2^31 or more primaries?,1,False
flink,3031,MayerRoman,tzulitai,"Having a specific checkpoint state object will also be helpful for code readability in situations like this one (it's quite tricky to understand quickly what the key / value refers to, as well as some of the `f0`, `f1` calls in other parts of the PR. I know the previous code used `f0` and `f1` also, but I think it's a good opportunity to improve that).",0,True
dolphinscheduler,10981,wjf222,kezhenxu94,"```suggestion
     * Remove the path from the subscribe list.
```
",0,True
beam,22932,rvballada,lukecwik,Once https://github.com/apache/beam/pull/23234/files gets merged then you can use the `ScheduledExecutorService` from `ExecutorOptions` instead of creating one.,0,True
beam,25258,sirenbyte,alxp1982,Please add runnable example description,0,True
druid,14459,demo-kratia,vtlim,"```suggestion
For ARM-based devices, see [Tutorial setup for ARM-based devices](#tutorial-setup-for-arm-based-devices).
```",0,False
beam,27516,svetakvsundhar,damondouglas,Will this URL remain if this PR merged?,1,True
ignite,5484,artemmalykh,dmitrievanthony,"Please, add `envs` into javadoc of this method.",0,False
geode,6687,gesterzhou,mhansonp,Are you really spinning up 100 threads? Is that many necessary?,1,False
incubator-kie-drools,2106,lucamolteni,baldimir,Unnecessary code block.,1,False
pulsar,3168,aahmed-se,sijie,let's not couple fixing typos with other changes.,1,True
druid,4570,akashdw,leventov,Same comments as for Search,0,True
pulsar,6764,315157973,jiazhai,".* should be avoid

",1,True
solr,559,noblepaul,sonatype-lift[bot],"*RESOURCE_LEAK:*  resource of type `org.apache.solr.request.LocalSolrQueryRequest` acquired by call to `LocalSolrQueryRequest(...)` at line 132 is not released after line 133.
**Note**: potential exception at line 133
(at-me [in a reply](https://help.sonatype.com/lift/talking-to-lift) with `help` or `ignore`)",0,False
ignite,5869,vsisko,Klaster1,Promise.prototype.finally would suit this place better.,0,False
flink,14909,rmetzger,tillrohrmann,"We should also assert that the `ExecutionGraph` has been updated. Otherwise a passing implementation of the `Canceling.updateTaskExecutionState` could be an empty method.

Technically, we would also have to do this for the other `StateWithExecutionGraph` sub classes.",0,True
pulsar,4749,codelipenghui,jerrypeng,same here,0,True
drill,2141,luocooong,cgivre,"I wonder if we could add these abstract classes to the `EasyFormatPlugin` classes so that they are usable for future storage plugins.  

If you take a look here: https://github.com/apache/drill/pull/1962

I was working on refactoring them a bit to reduce the cut/paste code.
",1,True
flink,4012,fhueske,sunjincheng121,`Have a look a the` -> `Have a look at the`,0,True
flink,14014,archzi,zentol,"can you put this change into a separate commit labeled ""[hotfix][docs] Fix order""? Looks like someone modified the file manually once again...",1,True
hudi,1100,yanghua,vinothchandar,Scope: test? Or is that inherited,1,True
nifi,4836,thenatog,exceptionfactory,"It looks like this unit test has access to `nifi.properties`, so recommend adjusting to pass the `algorithm` property to `SecureHasherFactory`.",0,True
iotdb,756,liutaohua,qiaojialin,"```suggestion
      throws StorageEngineException {
```",0,False
geode,7025,demery-pivotal,kirklund,Remove from geode-junit?,1,False
druid,14529,ektravel,writer-jill,"```suggestion
|`handoffConditionTimeout`|Long|Number of milliseconds to wait for segment handoff. Set to a value >= 0, where 0 means to wait indefinitely.|No|0|
```",0,True
kafka,5032,asasvari,vahidhashemian,"nit: a one liner works too: `(Some(state.toString), Some(rowsWithConsumer ++ rowsWithoutConsumer))`",0,True
geode,3059,aditya87,Petahhh,Can we be consistent with the order of params for status related methods? For example the constructor is boolean first and string message second.,1,True
servicecomb-pack,317,anvithks,WillemJiang,"I need to know if this file is generated or write by hand. 
If it is write by hand we need to apply the apache License header here. 
If not, we should find a right way to specify the license.",1,False
shardingsphere,12395,tuichenchuxin,strongduanmu,@tuichenchuxin `decorate` may be better.,0,True
hudi,1062,leesf,bvaradar,"Arrays.asList(deletePathPatterns1, successDeleteFiles1, failedDeleteFiles1) 

  As there is always going to be 3 entries, would Tuple type be a good alternative to using List here ? ",1,True
iotdb,2368,OneSizeFitsQuorum,jt2594838,Please finish this by serializing and deserializing raftId in the log.,0,False
pinot,4761,bxji,xiaohui-sun,Add header,0,True
flink,4117,sunjincheng121,twalthr,I would let this method return a string and add it to the `ScalarOperators`. The utils class is actually intended for frequently used methods. Right now you are mixing code generation and runtime methods.,0,False
iotdb,4773,choubenson,JackieTien97,"Since this class is only used in test, you should move it to test package.",0,False
kafka,2389,hjafarpour,enothereska,"Add ""...exists""",0,True
nifi,6047,Lehel44,exceptionfactory,"```suggestion
    <li>Password: For the Password a Security token must be requested. Go to Profile -> Settings and under the Reset My Security Token option, request one, which will be sent to the registered email address.
```",0,False
geode,7407,albertogpz,dschneider-pivotal,"you should not use ""singleton"" here. Instead just use ""this"" which will never be null. Also instead of accessing freeList here just have a updateNonRealTimeStats method on MemoryAllocatorImpl. It can then decide to delegate to freeList.",0,True
flink,23211,ferenc-csaky,Jiabao-Sun,"```suggestion
                assertThat(actualDirs).containsOnlyElementsOf(expectedDirs);
```",0,False
calcite,3084,olivrlee,julianhyde,I don't think this paragraph adds much. I think you should remove it. (It's not even true; the constructor remains package-private because we don't want people subclassing.),1,False
solr,108,bruno-roustant,dsmiley,"Yeah, but this is quite adequate since the repo is dedicated to this replica so there should be no other replicas using the same repo for this directory, thus no risk of same files with different content.",0,True
hive,2148,deniskuzZ,klcopp,I think it's not recommended to import all classes in the package,1,True
iotdb,5595,OneSizeFitsQuorum,ericpai,Throwing a runtime exception is not a very delicate way. You may catch it using an AtomicReference or something else and throw it outside.,1,True
cloudstack,5831,Pearl1594,DaanHoogland,code in comment,0,True
geode,6013,mivanac,bschuchardt,duplicate code - also this could use stream()->findFirst() instead of iterating,0,True
geode,7418,BalaKaza,DonalEvans,It would be better to call `makeElementString()` here so that we can guarantee that the expected String is constructed in exactly the same way as the String that was pushed into the list.,0,False
pulsar,18017,nicoloboschi,eolivelli,"if you use `synchronized`  on ""incomingList"" here you have to use it everywhere, otherwire you are not handling concurrently well",1,True
geode,4116,DonalEvans,jujoramos,"Lets take this opportunity to move this version into our dependency manager, instead of being the sole hard-coded number.",0,True
geode,2676,gesterzhou,dschneider-pivotal,"These numbers are too complicated. Make your test clear by using ""1"" and ""2"". I think all you need is to have the msb to not be equal and the lsb to be equal to reproduce the issue.",1,True
geode,7205,ringles,DonalEvans,"Looking at the code related to cancelInProgress(); it looks like it may also be returning early, by checking isClosing(). I may be missing something...Can you please point me to the path where it shows/checks cacelInProgress is returns null after cache is completely closed...",1,True
ratis,733,jiacheliu3,jiacheliu3,"Let's put move `readRequests` to `ServerState since
- `stateMachineUpdater` needs to update`readRequests` later;
- `ServerState` is a smaller class so that `RaftServerImpl` won't get too big.",0,True
hbase,623,VladRodionov,busbey,log a DEBUG message that we're skipping the table because it's not enabled.,0,True
flink,8976,bowenli86,sjwiesman,"```suggestion
To maintain meta-objects across sessions, users can choose to use the `HiveCatalog` to persist all of users' Flink streaming and batch meta-objects. Because Hive Metastore is only used for storage, Hive itself may not understand Flink's meta-objects stored in the metastore.
```",0,True
fineract,2314,josehernandezfintecheandomx,galovics,This method is not called anywhere in your test.,1,False
pulsar,19141,nicoloboschi,lhotari,"```suggestion
    private void writeAndFlush(ByteBuf cmd) {
```",0,False
drill,2667,cgivre,jnturton,"```suggestion
      List<Sheet> tabList = GoogleSheetsUtils.getTabList(service, sheetID);
```
and elsewhere.",0,False
bookkeeper,706,agresch,sijie,"nit: removing the trailing ""//""",0,False
cxf,538,jimma,dkulp,"
This makes core depend on SAAJ which is definitely not what we'd want to do.   Let me take a look at the test case to see if there is a different way to handle this from the jaxws fault interceptors.",1,True
incubator-hugegraph,1845,Fizell,imbajin,seems it don't print in the log file (print on the console is right?) @javeme,1,False
gobblin,2158,yukuai518,htran1,This code shows up in CompactionCompleteFileOperationAction.java too. Can you make a common method for this?,1,False
ignite,8148,tkalkirill,akalash,Do you sure we don't want to load partitions only after all indexes from all groups would be loaded?,1,True
flink,19413,liuzhuang2017,Myasuka,"```suggestion
然而，对于每个 task 可以重新调度到以前的位置进行恢复的 task ，我们可以从次要本地状态副本恢复，并避免远程读取状态的成本。考虑到*许多故障不是节点故障，即使节点故障通常一次只影响一个或非常少的节点*，
```",0,False
ratis,593,codings-dan,szetszwo,This method is not needed.,1,True
flink,23204,Jiabao-Sun,1996fanrui,"```suggestion
        assertThat(timeouts).isEmpty();
```",0,True
cloudstack,7112,rahulbcn27,DaanHoogland,"i think this is not the behaviour we want to test. Instead I think we need to
```suggestion
    public void testGetDisplayTextWhenEmpty() {
        String description = null;
        String netName = ""net-isolated"";
        ReflectionTestUtils.setField(cmd, ""name"", netName);
        Assert.assertEquals(cmd.getDisplayText(), netName);
    }
```",0,True
iceberg,2887,jackye1995,rdblue,"The code to filter out reserved properties calls `contains`, so I think this should be an `ImmutableSet` instead of a list.",1,False
beam,11205,ihji,lukecwik,We won't need to rely on using Optional if we make registration take a URN and ResolutionFn and then the resolver can be found by URN.,0,True
nifi,6279,kulikg,exceptionfactory,"Although the default value aligns with the field from `ListSmb`, it seems like the description could be more intuitive. The actual value is the full path to the remove file, so it would be helpful to incorporate that wording in the description:
```suggestion
            .description(""The full path of the file to be retrieved from the remote server."")
```",0,True
flink,9132,zhijiangW,NicoK,"Why don't you use this?
```
	@ClassRule
	public static final TemporaryFolder TEMPORARY_FOLDER = new TemporaryFolder();
```",1,True
parquet-mr,764,shangxinli,gszadovszky,I don't get why you need to store the metadata with the schema. Why don't you use a simple structure that maps the required metadata with the column names?,1,True
flink,13912,sjwiesman,dianfu,"```suggestion
    def is_incremental_checkpoints_enabled(self) -> bool:
```",0,True
pulsar,6052,codelipenghui,sijie,"```suggestion
    // Maintain the deletion status for batch messages
```",0,False
incubator-heron,1791,kkdoon,billonahill,s/fetch_bp/fetch_backpressure,1,False
flink,20953,mxm,zentol,"Can you make this a long option to be bit less weird, without the casting to a long?",1,True
flink,12010,leonardBang,JingsongLi,"Don't need a table schema, Just:
```
LogicalType[] logicalTypes = Arrays.stream(context.getFieldTypesWithoutPartKeys())
				.map(DataType::getLogicalType)
				.toArray(LogicalType[]::new);
		RowType nonPartRowType = RowType.of(logicalTypes, context.getFieldNamesWithoutPartKeys());
```
And please add a method into `WriterContext`. So we can reuse this in csv.",0,False
solr,857,laminelam,madrob,I don't see where this is used.,1,False
druid,14529,ektravel,writer-jill,"```suggestion
|`scaleInStep`|The number of tasks to reduce at once when scaling down.|No|1|
```
I wasn't sure what the original text meant at first.",1,False
druid,5452,nishantmonu51,leventov,It's `Runnables.getNoopRunnable()`.,0,True
flink,7150,tillrohrmann,hequn8128,A nice release notes! Replace occured with occurred here? There are two places in this sentence.,1,True
flink,15924,tweise,SteNicholas,should the first wildcard char be `T`?,1,False
geode,2794,aditya87,jinmeiliao,Not sure if this would make sense. these are offline commands. SingleGfshCommand is designed for commands that would change cluster configuration. I would like to see all offline commands stay as GfshCommand or InternalGfshCommand..,1,True
logging-log4j2,460,ronosaurus,vy,"`filterPackages` suppresses the stack frames, whereas `filterStartFrames` *truncates* the stringified stack trace after any occurrence of the given package name. Correct me if I am wrong.

IMHO, *filter* here is already used in the wrong context. It is generally used for *selecting* something, not *excluding* it, e.g., `Stream#filter()`. I would have called it `discardPackages`. That said, I am probably more than a decade late to share this great wisdom. But maybe we can do something better for `filterStartFrames`. Here I see two options:

1. Stick to the historical context and go with `filterStartFrames`.
2. Try to improve the current state with the cost of some inconsistency in the syntax. `discardAfterPackages`?",1,False
skywalking,10282,shichaoyuan,wu-sheng,This could be a `field` annotation to ensure we don't have to define `value()` duplicated. And we don't verify this column exists.,1,True
nifi,6480,mattyb149,exceptionfactory,"```suggestion
```",0,False
beam,11749,boyuanzz,aromanenko-dev,"Consider using the cmp package instead of reflect.DeepEqual which doesn't allow handling ordering changes or similar.

https://pkg.go.dev/github.com/google/go-cmp/cmp?tab=doc",0,False
samza,543,rayman7718,nickpan47,"I think that it would make sense to provide a default class name here as well, for log4j 1.2.x (since in open source, we still depend on log4j 1.2.x).",1,False
pulsar,3677,jiazhai,eolivelli,"What about having an 'AuthToken' class.
It will actually be a wrapper for a byte[] but this way code will be more readable and type safe",1,True
druid,13787,paul-rogers,github-advanced-security[bot],"## Missing call to `__init__` during object initialization

Class HtmlTable may not be initialized properly as [method BaseTable.__init__](1) is not called from its [__init__ method](2).

[Show more details](https://github.com/apache/druid/security/code-scanning/4255)",0,True
cloudstack,1799,rohityadavcloud,jburwell,Re-initializing a `SecureRandom` instance on every method call is expensive and unnecessary.  Please consider refactoring to a `static` constant and reusing the singleton.,0,False
parquet-mr,614,ggershinsky,chenjunjiedada,remove parentheses?,1,False
cloudstack,3091,GabrielBrascher,rafaelweingartner,"can you also fix the formatting here, the indentation is a little odd.",0,False
incubator-paimon,184,JingsongLi,LadyForest,Nit: how about renaming to `producer`?,1,True
kylin,502,Wayne1c,shaofengshi,"Please combine this line with the previous "" if (toRemoveSegs != null)"" check.",0,True
pulsar,5613,zymap,sijie,same comment as above,0,True
beam,5386,tgroh,bsidhom,Remove the outdated comment?,1,True
flink,6989,azagrebin,pnowojski,change to `firstError`?,1,False
hive,2516,hmangla98,ayushtkn,"Check if you can use
``LambdaTestUtils.intercept`` instead of try-catch",1,True
flink,11445,azagrebin,xintongsong,Redundant call to `format()`.,0,False
flink,19885,reswqa,xintongsong,I'd suggest to name this `ConsumingConstraint`.,1,True
kafka,12739,shekhar-rajak,divijvaidya,"I don't think we need these reset calls here with Mockito. We required it with easymock because it stacks up the mock stubs but with mockito you can call the same stub as many time as you like.

Same for other close tests.",1,False
flink,11897,chaojianok,leonardBang,local-global 我们都保留不翻译吧,0,True
phoenix,1160,vmeka2020,yanxinyi,There should have been `nine` metrics?  Why you are comparing 15 and p.size here?,1,False
shardingsphere,13046,gitaroktato,tuichenchuxin,Assertclone is not a word,1,True
flink,14292,sjwiesman,alpinegizmo,"```suggestion
Time attributes behave like regular timestamps, and are accessible for calculations.
```",0,False
hadoop,3736,bhalchandrap,steveloughran,nit: code convention is only to use this. in constructors and setters,0,True
iotdb,4979,HeimingZ,qiaojialin,"```suggestion
              ""The virtual storage group {}[{}] has recovered {}%, please wait a moment."",
```",0,True
linkis,4784,lenoxzhao,peacewong,can use props value?,1,True
druid,3091,sirpkt,gianm,"We need to maintain backwards compatibility here; if someone provides ""keyColumn"" that should continue to work.
",1,True
iotdb,96,liukun4515,jt2594838,The second  {} is unneeded.,1,False
nifi,6670,Lehel44,tpalfy,"```suggestion
    private WriteJsonResult getWriter(RecordExtender extender, ByteArrayOutputStream out) throws IOException {
        final RecordSchema extendedSchema = extender.getExtendedSchema();
```",0,True
zookeeper,546,eolivelli,ivankelly,"unrelated, creates noise in patch",1,False
nifi,1585,bbende,scottyaslan,Will need to update the load order here as well...,1,True
flink,10083,wsry,zhijiangW,"Make `delayBetweenSamples.getSize(), delayBetweenSamples.getUnit()` as separate line",1,False
cassandra,2073,belliottsmith,iamaleksey,"`>=` here, `<=` in `AccordBytesSplitter`",0,True
hadoop,5488,sreeb-msft,anmolanmol1234,javadoc for new param.,0,True
geode,3920,geetrawat,rhoughton-pivot,"In the test teardown, shouldn't this property by unset from the JVM?",1,True
flink,7064,StefanRRichter,tillrohrmann,"I think it would be better to log the failure in `RpcCheckpointResponder#declineCheckpoint` because it is there where the message leaves the `TaskExecutor` and we no longer have control over it. Moreover, we would cover other failures coming from the other calling paths as well.",1,True
samza,401,vjagadish1989,prateekm,Can remove this line (partially redundant) and add the host name to the info log on line 283 (in getResource).,0,True
iceberg,2115,TGooch44,emkornfield,"```suggestion
    Creates a strict ProjectionEvaluator for the PartitionSpec, defaulting to case sensitive mode.
```",0,False
cloudstack,2433,khos2ow,rohityadavcloud,I don't think these will be the same objects only representing the same date but as one is created from a string it would not include microseconds. This is why i compared the string representations.,1,False
flink,14737,mohitpali,dannycranmer,nit: you should not need `<version>` and `<scope>` tags here. I assume you meant to include junit as a compile scoped dependency (compile is default),1,True
guacamole-client,454,siacali,necouchman,"This should probably be more along the lines of ""The attribute name used to determine group memberships in CAS, or null if not defined.""  I know it seems redundant based on what's already a couple of lines above it, but when people are looking at the JavaDoc documentation for a Guacamole method there are situations where it can be useful.",1,False
accumulo,242,lstav,joshelser,This should be re-computed to ensure that the Monitor picks up new values for this configuration property.,1,False
nifi,6480,mattyb149,exceptionfactory,"The `generate-record` prefix for property names seems unnecessary, recommend removing it from all property names.",0,False
nifi,5444,levilentz,mattyb149,"Following the convention of other `boolean` properties, the default value is `true`, not `TRUE`.
```suggestion
|`nifi.web.should.send.server.version`| Whether the Server header should be included in HTTP responses. The default value is `true` +
```",1,False
beam,5467,boyuanzz,lukecwik,indeed better to do an upsert rather than the simple update that was on your first commit,0,True
druid,3672,himanshug,leventov,"Also replaceable with `return timeCompare;`
",0,True
nifi,5195,Lehel44,tpalfy,"```suggestion
        this.verbose = Boolean.parseBoolean(properties.getProperty(VERBOSE_PROP_NAME));
        this.allowed = Boolean.parseBoolean(properties.getProperty(ALLOWED_PROP_NAME));
```",0,True
flink,4649,gallenvara,pnowojski,nit: formatting,0,False
pulsar,3854,wolfstudy,sijie,"add a TODO task to add processing guarantees.
add a TODO task to infer the consumer type from processing guarantees.",0,True
beam,1787,JingsongLi,kennknowles,"Just code style: we leave imports fully listed, and there are a few other things. I can autoformat and fix up style when I merge.",0,True
flink,5580,dawidwys,zentol,Why is this needed now? I don't see any mocking being added.,1,True
flink,5040,walterddr,twalthr,"`A row is a composite type that can row can be access via <a href=""tableApi.html#built-in-functions"">value access functions</a>.`",1,True
flink,11403,pnowojski,AHeise,Please check if that needs to be closed at the end of the test.,1,False
geode,801,jaredjstewart,pdxrunner,"Delete, LOGGER is not used. Also delete the corresponding import",0,False
hbase,1639,HorizonNet,saintstack,"Oh, you do it here.",0,False
fineract,3011,b0c1,galovics,Can we make this class a Spring bean instead so it can be easily mocked out?,1,True
samza,204,jmakes,bringhurst,"> themselves . This mod

Extra space should be removed here.",0,True
beam,24402,eantyshev,alexeyinkin,Is it `github_url` or `vcs_url`?,1,True
flink,15018,fsk119,wuchong,"This method sounds return a boolean type and doesn't do any validation. Besides, I think we can also move `planner.overrideEnvParallelism()` and `getExecEnv.configure(getTableConfig.getConfiguration, classloader)` into this method. So that we will not miss to override configuraiton.  What about calling the new method `validateAndOverrideConfiguration()` and add a comment on the method? 


Besides, I suggest to call this method in the implementations of `Planner#translate` , `Planner#explain`, `Planner#getJsonPlan`, `Planner#explainJsonPlan`, `Planner#translateJsonPlan`. This should cover all cases and will be easier to track in the future.  ",1,False
beam,23532,nausharipov,alexeyinkin,"Are they repeated to test that 'tag2' is more frequent than 'tag1'? If so, explain in a comment please.",1,False
shardingsphere,18339,Jacob953,cheese8,对照`数据表里哪个列用于存储密文数据（cipherColumn）、使用什么算法加解密（encryptorName）`与`哪个列用于存储辅助查询数据（assistedQueryColumn）、使用什么算法加解密（assistedQueryEncryptorName）`，所以这里不是使用算法对辅助查询数据加解密。,0,True
pulsar,16758,poorbarcode,asafm,What do you mean by that explanation? It looks very much the same explanation of `pulsarBatchedLogTriggeringCountBySize`,1,True
storm,1710,knusbaum,d2r,"Let's remove `pacemaker.host` if it is no longer used.
",1,True
flink,4559,zhijiangW,NicoK,"I shortly thought about relying on `buffers.size()` here to reduce complexity and code, but `ArrayDeque#size()` (for `getBuffersInBacklog()`) may show some race conditions then without synchronisation. However, if we picked up the idea again of returning the backlog size with the buffer itself (which is retrieved under the lock), i.e. similar to `BufferAndAvailability` being returned by the `SequenceNumberingViewReader`, this would work and we would not need the `volatile` here. Since you split the implementations into `PipelinedSubpartition` and `SpillableSubpartition` anyway, this would be a viable approach again.
What do you think? What would you prefer?",1,False
nifi,7338,dam4rus,exceptionfactory,"Referencing this specific class is a problem for compatibility with other vendors, so a different approach is necessary to check for Oracle as the version.",1,True
phoenix,749,christinefeng,ChinmaySKulkarni,We shouldn't be casting to `int` since timings are `long`.,1,True
flink,4012,fhueske,sunjincheng121,Can we remove `inputs` from `All Table API and SQL programs for batch and streaming inputs follow the same steps`?,1,False
pulsar,13055,aloyszhang,eolivelli,why don't you like assertThrows ?,1,True
fineract,2526,taskain7,galovics,"I don't think we'll need an outbound flow, do we?",1,True
beam,2044,mingmxu,davorbonaci,"We'd like to keep all versioning information at the top-level; just like other dependencies.

License: OK.",0,True
shardingsphere,21687,gxxiong,strongduanmu,Can you add some integration test case for this logic?,1,False
iotdb,3879,MrQuansy,OneSizeFitsQuorum,"merge these ""throw e""",0,True
netbeans,2282,Akshay-Gupta-19,junichi11,"Although I'm not an expert of this area, maybe, if you would like to check whether text of a token is the same as given one, should use `org.netbeans.api.lexer.TokenUtilities.textEquals()` instead of `toString().equals` (e.g. `!TokenUtilities.textEquals(tl.currentToken().text(), ""{"")`), then should add `// NOI18N` to strings.
Please reformat your changes. (the changes below, too)

",0,True
ignite,8367,timoninmaxim,alamar,"Why do you call all suites Core*? We do not have such conventions, please rename them like the existing ones. Then we can update TC. Did you try to run them on TC, by the way?",1,True
cloudstack,4068,davidjumani,DaanHoogland,meaning if xenserver try again?,1,False
kafka,2072,huxihx,ijuma,Typo in group name.,0,True
flink,15811,pnowojski,alpinegizmo,"```suggestion
In the *Back Pressure* tab next to the job overview you can find more detailed metrics.
```",0,False
nifi,5202,emiliosetiadarma,gresockj,"It would be useful to include the above exception as a cause of this one.  Perhaps reword to ""Valid credentials/configuration is required to initialize KMS client""",1,False
iotdb,6855,ljn55966005,CRZbulabula,This field should better to be set to AtomicBoolean or volatile for thread-safety,1,True
flink,8295,JingsongLi,pnowojski,Can not we add `getUserFunction()` or `getUserFunctionName()` method to the `UdfStreamOperatorFactory` interface?,1,True
flink,8404,dawidwys,bowenli86,"shall we rephrase the logging msg to be different than that in ""setCurrentCatalog""? because 1) it doesn't actually set the current catalog, 2) to differentiate from calling of ""setCurrentCatalog""

can be sth like ""Sets the current default database as '{}' in the current default catalog '{}'""?",1,True
doris,1107,worker24h,EmmyMiao87,This operator needs to depend the local file which is not good for others,1,True
beam,6505,alanmyrvold,swegner,"I just checked the documentation for `git push` and it can take a URL for its remote parameter, meaning we can forego all of this remote config management. Then, the command becomes: `git push https://gitbox.apache.org/repos/asf/beam.git asf-site` and the rest can be removed.",0,False
nifi,7492,Lehel44,exceptionfactory,"```suggestion
```",0,False
beam,13282,boyuanzz,aromanenko-dev,"I don't think the numOfAllKeys check here is necessary. It essentially boils down to counting the number of elements emitted which is already done by other unit tests. The only reason I can see for this is if you suspect that enabling hot keys might cause elements to drop, when they wouldn't otherwise, but based on your implementation I don't think that's something to worry about.",1,False
iotdb,18,MyXOF,lanking520,Code style? Add a space after `if`.,1,False
beam,15660,daria-malkova,damondouglas,See comment above regarding the method signature.  Perhaps it makes sense to have a Command method that returns a `*Cmd`.,1,True
nifi,5042,markap14,gresockj,Could this lead to a race condition with using currentKeys above in a subsequent call to ListS3?,1,False
incubator-hugegraph,131,Linary,javeme,"prefer to let HugeGremlinServer.start() return an instance, same with HugeRestServer.start()",0,True
netbeans,158,rosslamont,junichi11,"Please undo this change, then, exclude this file form rat. This file is user visible. (Tools > Options > Fonts & Colors)

![nb54-css editor-cssexample](https://user-images.githubusercontent.com/738383/31822059-44c345d6-b5e2-11e7-9ce7-171880905aa9.png)
",0,False
linkis,1062,LiuHaiYang,clay4444,new line,0,True
inlong,2556,KevinWen007,ifndef-SleePy,Do not get ColumnVector from like this. Could you infer child type from schema provided from manager?,1,True
shardingsphere,7300,tuohai666,terrymanu,`new CallableClear` can be inline into clearNodes.add,0,False
beam,26444,pranavbhandari24,kennknowles,"Other files use a Google `Pattern` class, but here the one that comes with Java is used.",1,True
solr,1709,mkhludnev,HoustonPutman,"Yeah I think I understand why this is happening, but it could benefit from a comment.",1,True
nifi,6993,slambrose,exceptionfactory,"The `requireNonNull` method takes a message, so recommend adding a message for each of these lines to clarify the problem.
```suggestion
        requireNonNull(type, ""Provider Type required"");
        requireNonNull(id, ""Provider ID required"");
        requireNonNull(bundleCoordinate, ""Provider Bundle Coordinate required"");
```",0,True
iotdb,8341,Caideyipi,CRZbulabula,"```suggestion
      LOGGER.warn(
          ""Submit RegionMigrateProcedure failed, because the target DataNode {} already contains  Region {}"",
```",0,True
accumulo,1677,dlmarion,ctubbsii,Could pass in the retry factory rather than pass a boolean around. That would make the code more clear.,1,False
kafka,4934,mimaison,hachikuji,nit: `final`,0,True
hadoop,4993,ashutoshcipher,aajisaka,"Would you fix the order of the argument as follows?
```
assertEquals(5120, mawoConf.getRpcServerPort());
```",1,False
ignite,3565,zaleslaw,ybabak,"illegal javadoc line, we don't have ""cols"" param",1,False
zookeeper,2077,janhoy,ctubbsii,"While this might be useful for some... most people are probably not going to use this. It doesn't make sense to add this optional dependency to the class path for everybody. Some people may want a more minimal approach, for a smaller security footprint, and to save space in their downstream environment.",1,False
beam,7202,Ardagan,ajamato,Please add a username and/or jira,0,True
beam,2910,lukecwik,kennknowles,"Separate deletion of `getInstanceComponents` to its own commit, too.",0,True
hive,1933,pgaref,belugabehr,"Can we please update to say:

```java
LOG.warn(""No Tez VCore size specified by {}.  Falling back..."", HiveConf.ConfVars.HIVETEZCPUVCORES,  MRJobConfig.MAP_CPU_VCORES);
```",0,True
lucene,12357,romseygeek,jpountz,"```suggestion
  queries relying on terms in NIOFSDirectory and SimpleFSDirectory. (Alan Woodward)
```",0,True
flink,8731,sunhaibotb,pnowojski,nit: one parameter per line,1,False
cloudstack,6154,BryanMLima,GabrielBrascher,"I would go for `Source NAT`/`source NAT` instead of `sourceNat` considering that NAT is an achronim.
Another option would be to have it as ""SNAT""",1,True
iotdb,9,jt2594838,Beyyes,daemon spell,0,True
